关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
603777,量贩零食“围剿”，跨界尝试无果，来伊份急寻出路,2024年，来伊份加盟商批发收入虽提升3.92%至7.59亿元，仍难以抵消直营门店零售收入的降幅，去年来伊份门店零售收入为,2025-06-12 19:04:36,国际金融报,http://finance.eastmoney.com/a/202506123429041346.html
603777,良品铺子开始卖小龙虾了？去年净利润下滑125%，专家称转型极为关键,当前，零食行业竞争激烈，不仅有三只松鼠（300783.SZ）、来伊份（603777.SH）、盐津铺子（002847.SZ）,2025-05-31 16:50:17,红星资本局,http://finance.eastmoney.com/a/202505313419716321.html
603777,上半年增收不增利，处于转型阵痛期的来伊份谋求新突围,在门店结构调整过程中，今年上半年，来伊份来自直营门店收入下降了78.69%至8.75亿元；加盟店虽然总体数量缩减，但是收入反而同比上涨了,2025-08-29 22:10:22,华夏时报,http://finance.eastmoney.com/a/202508293499749433.html
603777,来伊份：融资净买入318.99万元，融资余额9287.18万元（10-16）,来伊份融资融券交易明细（10-16）来伊份历史融资融券数据一览,2025-10-17 07:33:05,东方财富Choice数据,http://finance.eastmoney.com/a/202510173536484862.html
603777,来伊份控股股东爱屋企管新增质押1100万股,质押完成后，爱屋企管累计质押来伊份的股份数量为3700万股，占其持股数量的20.89%，占来伊份总股本的11.06%。,2025-06-17 19:36:56,新京报,http://finance.eastmoney.com/a/202506173432866812.html
603777,异物粽子尚未有调查定论，来伊份预计上半年亏损最高达七千万,继去年亏损后，来伊份今年上半年再次出现亏损。7月11日，来伊份发布业绩预告称，,2025-07-11 18:35:49,南方都市报,http://finance.eastmoney.com/a/202507113454729033.html
603777,休闲食品板块短线拉升 来伊份涨停,每经AI快讯，5月26日，休闲食品板块短线拉升，来伊份涨停，好想你、三只松鼠、桂发祥、良品铺子、黑芝麻等纷纷走高。,2025-05-26 13:54:44,每日经济新闻,http://finance.eastmoney.com/a/202505263414393444.html
603777,来伊份：上半年归母净利润亏损5068.39万元,北京商报讯（记者郭秀娟实习记者王悦彤） 8月26日，来伊份发布2025年半年报，报告期内，公司实现营业收入19.4亿元,2025-08-26 21:01:57,北京商报,http://finance.eastmoney.com/a/202508263495234116.html
603777,读懂IPO|溜溜果园毛利率因降价承压，赴港募资前遭北京红杉清仓,从单个企业来看，报告期各期，除了来伊份（603777.SH），其他10家公司的毛利率也均低于溜溜果园。 ,2025-05-16 20:18:58,时代周报,http://finance.eastmoney.com/a/202505163406968166.html
603777,食安风波叠加业绩下滑 来伊份突围遇阻,据了解，5月10日，有消费者连发两条视频投诉在来伊份的粽子中吃到异物，要求来伊份官方给一个明确的回应。,2025-05-12 21:41:54,华夏时报,http://finance.eastmoney.com/a/202505123402301420.html
603777,来伊份：将于2025年10月15日召开2025年第三次临时股东大会,来伊份将于2025年10月15日（星期三）下午14:00，在上海市松江区九新公路855号来伊份零食博物馆召开2025年第三次临时股东大会,2025-10-14 16:01:05,东方财富Choice数据,http://finance.eastmoney.com/a/202510143533607960.html
603777,来伊份回应蜜枣粽异物：尚未看到实物，已下架同批次产品,5月12日，新京报记者了解到，休闲食品企业上海来伊份股份有限公司（简称“来伊份”）针对近日消费者反映的蜜枣粽中出现创可贴异物事件,2025-05-12 20:44:02,新京报,http://finance.eastmoney.com/a/202505123402259097.html
603777,来伊份：全面下架 全链路调查,近日，有消费者投诉称在来伊份的粽子中吃出异物。来伊份今日早间公告，公司已全面下架本批次蜜枣粽产品，,2025-05-12 09:19:46,财联社,http://finance.eastmoney.com/a/202505123401632313.html
603777,来伊份：本次股份回购计划实施完毕,证券日报网讯 6月23日晚间，来伊份发布公告称，截至本公告披露日，公司本次股份回购计划已达到回购金额下限，本次股份回购计划实施完毕,2025-06-23 20:35:02,证券日报,http://finance.eastmoney.com/a/202506233437898481.html
603777,休闲食品板块异动拉升，来伊份直线涨停,休闲食品板块异动拉升，来伊份直线涨停，良品铺子、绝味食品、好想你、三只松鼠、桂发祥、黑芝麻等跟涨。,2025-05-26 13:57:10,界面新闻,http://finance.eastmoney.com/a/202505263414395568.html
603777,聚焦变革、创新与差异化 第十八届来伊份合作伙伴高峰论坛在上海举办,来伊份董事长施永雷在大会现场表示，要为消费者提供更好的线下体验场景，那就是来伊份现在正在做的事——门店升级。,2025-05-19 13:41:00,上海证券报·中国证券网,http://finance.eastmoney.com/a/202505193408138294.html
603777,门店减少上百家毛利大幅下滑，来伊份上半年营收上涨但亏损了,来伊份结束连续两年营收下滑态势，但是陷入亏损。8月26日，来伊份发布2025年中期财报。,2025-08-29 06:10:52,南方都市报,http://finance.eastmoney.com/a/202508293498534891.html
603777,来伊份：融资净偿还118.8万元，融资余额9168.37万元（10-17）,来伊份融资融券交易明细（10-17）来伊份历史融资融券数据一览,2025-10-18 07:48:24,东方财富Choice数据,http://finance.eastmoney.com/a/202510183537790498.html
603777,来伊份：5月份累计回购公司股份55.00万股,证券日报网讯 6月3日晚间，来伊份发布公告称，2025年5月份，公司通过集中竞价交易方式已累计回购股份55.00万股，,2025-06-03 18:38:49,证券日报,http://finance.eastmoney.com/a/202506033420773591.html
603777,来伊份：累计回购公司股份290.54万股,证券日报网讯 6月5日晚间，来伊份发布公告称，截至2025年6月4日，公司通过上海证券交易所交易系统以集中竞价交易方式累计回购公司股份,2025-06-05 21:36:04,证券日报,http://finance.eastmoney.com/a/202506053423155233.html
603777,毛利率是头部企业4倍，“零食第一股”来伊份去年却由盈转亏,据上述公告，在2016年10月12日来伊份首发上市，爱屋企管及一致行动人合计持有来伊份67.5%的股份。,2025-04-29 16:37:56,南方都市报,http://finance.eastmoney.com/a/202504293392874348.html
